id;preparacao;energia;proteina;lipidios; carboidrato;fibra;colesterol;acucartotal;acucaradicao;calcio;magnesio;ferro;sodio;sodioadicao;potassio;vitamina_a;tiamina;vitamina_d;vitamina_e;vitamina_c
8102701;99;336;21,85;25,9;2,4;0;89;0,96;0,96;15;19;1,56;1449;0;316;0;0,37;0,72;0,22;0
8102702;99;336;21,85;25,9;2,4;0;89;0,96;0,96;15;19;1,56;1449;0;316;0;0,37;0,72;0,22;0
8102801;99;126;17,5;4,84;2,04;0,2;72;2,04;2,04;8;22;2,34;1114;0;287;7;0,03;0,19;0,64;8,9
8102901;99;226;20,53;15,2;0,42;0;62;0;0;8;17;1,37;941;0;357;0;0,82;0,8;0,28;0
8103001;2;195,96;16,62;8,35;12,64;0,61;48,64;2,85;1,1;73,66;21,08;1,5;118,3;197;198,94;16,69;0,17;0,5;0,23;0,6
8103001;4;195,96;16,62;8,35;12,64;0,61;48,64;2,85;1,1;73,66;21,08;1,5;118,3;197;198,94;16,69;0,17;0,5;0,23;0,6
8103001;6;256,49;16,62;15,2;12,64;0,61;48,64;2,85;1,1;73,66;21,08;1,5;118,3;197;198,94;16,69;0,17;0,5;0,79;0,6
8103101;2;214;26,62;11,1;0;0;86;0;0;13;21;2,89;61;499;300;0;0,04;0,45;0,41;0
8103101;3;214;26,62;11,1;0;0;86;0;0;13;21;2,89;61;499;300;0;0,04;0,45;0,41;0
8103101;4;214;26,62;11,1;0;0;86;0;0;13;21;2,89;61;499;300;0;0,04;0,45;0,41;0
8103101;5;236,66;26,62;13,66;0;0;86;0;0;13;21;2,89;61;499;300;0;0,04;0,45;0,62;0
8103101;99;214;26,62;11,1;0;0;86;0;0;13;21;2,89;61;499;300;0;0,04;0,45;0,41;0
8103601;99;178;22,62;9,02;0;0;59;0;0;8;22;1,34;1500;0;409;0;0,73;0,8;0,31;0
8103901;99;544;61,3;31,3;0;0;95;0;0;30;11;0,88;1838;0;127;12;0,1;0;0,53;0,5
8103902;99;544;61,3;31,3;0;0;95;0;0;30;11;0,88;1838;0;127;12;0,1;0;0,53;0,5
8104001;99;326;14,1;28,5;2,2;0;158;0,51;0,59;26;12;6,4;860;0;170;8300;0,27;0,6;0,41;0
